"Date","High"
"14/10/2020",26530
"15/10/2020",26510
"16/10/2020",26160
"17/10/2020",26120
"18/10/2020",26010
"19/10/2020",26190
"20/10/2020",26230
"21/10/2020",26570
"22/10/2020",26890
"23/10/2020",26910
"24/10/2020",26530
"25/10/2020",26760
"26/10/2020",28930
"27/10/2020",27080
"28/10/2020",26970
"29/10/2020",26230
"30/10/2020",26070
"31/10/2020",26030
"01/11/2020",25900
"02/11/2020",25920
"03/11/2020",25300
"04/11/2020",25580
"05/11/2020",26390
"06/11/2020",28010
"07/11/2020",28190
"08/11/2020",27420
"09/11/2020",27860
"10/11/2020",28510
"11/11/2020",28370
"12/11/2020",27910
"13/11/2020",28360
"14/11/2020",28210
"15/11/2020",28130
"16/11/2020",30090
"17/11/2020",29760
"18/11/2020",29990
"19/11/2020",29600
"20/11/2020",30110
"21/11/2020",35490
"22/11/2020",36600
"23/11/2020",36480
"24/11/2020",42040
"25/11/2020",42560
"26/11/2020",37930
"27/11/2020",33550
"28/11/2020",34700
"29/11/2020",35300
"30/11/2020",35800
"01/12/2020",35720
